slug;genre;poster;
one_night_in_miami;Drama;https://resizing.flixster.com/FpOCRlTyHhk3PlQL-zotP1NgFrc=/206x305/v2/https://resizing.flixster.com/ny51tK1hvdxr3dqePecb_TDHXs8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M1NmY4NGFjLWViZGEtNDUwMi1hMjhmLTQ4OWIzZjdhMGM0MS5qcGc=;
the_great_beauty;Comedy,Drama;https://resizing.flixster.com/TpXapVTqULXu02Ol30FrVVFb9Q4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10176133_p_v8_aa.jpg;
dheepan;Drama;https://resizing.flixster.com/7sA2way9B7GbADZ7SKUOTRM0Xyk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12119198_p_v8_au.jpg;
maiden;Documentary;https://resizing.flixster.com/CQdcufNHUaz6ljoCyFVHSlDsv-k=/206x305/v2/https://resizing.flixster.com/7OtxNQzv4wWElIvkOE6uK5meScQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzczNzQ3ZjliLWViNDMtNDRjNi1hNjhlLTg4ZTRkMWY3NTI2ZS53ZWJw;
jane;Documentary;https://resizing.flixster.com/Aj_dl_E7TSCfhrbEU75L3iOTOps=/206x305/v2/https://resizing.flixster.com/h0A8Owf_gMVwZcFFS_nH5ZthDv8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZkYmMwMTMxLTQ3NzEtNGU4Yi1hM2M2LTczZDEwNmJiMzVhNS53ZWJw;
minari;Drama;https://resizing.flixster.com/yil3-Wg0s02gsxsP4eUpvci8Gz0=/206x305/v2/https://resizing.flixster.com/E18FO2BbJxaQTHe4xb6lIt59Apo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2MxZGFjOGZmLWRiMDEtNDdkMi04OTA5LTk3YTU4YmVkZDE0MS5qcGc=;
mustang_2015;Drama;https://resizing.flixster.com/AvdJYQ-p3jBwkHIeXDRHb0OwYdE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11893143_p_v8_ad.jpg;
the_look_of_silence;Documentary;https://resizing.flixster.com/WhtP4IeMd2cRleNpXUNqadbdUQQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11467444_p_v8_ac.jpg;
mcqueen;Documentary;https://resizing.flixster.com/mEI-rqpz9ThP_jY3E-RgfSkB9No=/206x305/v2/https://resizing.flixster.com/bgQutyTaJ_3zsmt0yeop7HpKN34=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzcwOThhZDYxLWIyMjYtNGVjMS05ZTdiLWFhYzY2ZWQ0ZDk0OS53ZWJw;
wadjda_2013;Drama;https://resizing.flixster.com/AF-LUWRZoNx4vr5NcNdjZJXNACE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9649221_p_v8_aa.jpg;
